score,sentence
-28.7913,just dreadful i do n't blame eddie murphy but should n't owen wilson know a movie must have a story and a script ?
-28.6618,adam sandler 's 8 crazy nights is 75 wasted minutes of sandler as the voice over hero in columbia pictures ' perverse idea of an animated holiday movie
-27.8647,it goes on for too long and bogs down in a surfeit of characters and unnecessary subplots
-27.4145,"sorority boys was funnier , and that movie was pretty bad"
-26.9345,"enough is not a bad movie , just mediocre the performances are so overstated , the effect comes off as self parody"
-26.9036,the film is so packed with subplots involving the various silbersteins that it feels more like the pilot episode of a tv series than a feature film
-26.6361,"mckay shows crushingly little curiosity about , or is ill equipped to examine , the interior lives of the characters in his film , much less incorporate them into his narrative"
-26.6325,"if routine action and jokes like this are your cup of tea , then pay your 8 and get ready for the big shear this is one baaaaaaaaad movie"
-26.5692,"one thing 's for sure if george romero had directed this movie , it would n't have taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head"
-25.8123,tv skit com material fervently deposited on the big screen
-25.7567,"as with so many merchandised to the max movies of this type , more time appears to have gone into recruiting the right bands for the playlist and the costuming of the stars than into the script , which has a handful of smart jokes and not much else"
-25.5910,master of disguise runs for only 71 minutes and feels like three hours
-25.5548,"even as i valiantly struggled to remain interested , or at least conscious , i could feel my eyelids getting very heavy"
-25.2022,"the idea is more interesting than the screenplay , which lags badly in the middle and lurches between not very funny comedy , unconvincing dramatics and some last minute action strongly reminiscent of run lola run"
-24.8673,"even before it builds up to its insanely staged ballroom scene , in which 3000 actors appear in full regalia , it 's waltzed itself into the art film pantheon"
-24.8553,i ca n't remember the last time i saw a movie where i wanted so badly for the protagonist to fail
-24.4534,lacks the visual flair and bouncing bravado that characterizes better hip hop clips and is content to recycle images and characters that were already tired 10 years ago
-24.2948,"ultimately , the film never recovers from the clumsy clich of the ugly american abroad , and the too frosty exterior ms paltrow employs to authenticate her british persona is another liability"
-24.2850,a fairly harmless but ultimately lifeless feature length afterschool special
-24.2179,director jay russell weighs down his capricious fairy tale with heavy sentiment and lightweight meaning
-23.9325,most of the movie is so deadly dull that watching the proverbial paint dry would be a welcome improvement
-23.6984,"in the end , tuck everlasting falls victim to that everlasting conundrum experienced by every human who ever lived too much to do , too little time to do it in"
-23.5005,"an unholy mess , driven by the pathetic idea that if you shoot something on crummy looking videotape , it must be labelled ` hip ' , ` innovative ' and ` realistic '"
-23.2635,what ` blade runner ' would 've looked like as a low budget series on a uhf channel
-23.1161,"cherry orchard is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre credit sequence designed to give some of the characters a ` back story '"
-22.8954,how about starting with a more original story instead of just slapping extreme humor and gross out gags on top of the same old crap ?
-22.7583,"its audacious ambitions sabotaged by pomposity , steven soderbergh 's space opera emerges as a numbingly dull experience"
-22.7331,"in the not too distant future , movies like ghost ship will be used as analgesic balm for overstimulated minds right now , they 're merely signposts marking the slow , lingering death of imagination"
-22.7203,"if there was ever a movie where the upbeat ending feels like a copout , this is the one"
-22.4712,"did no one on the set have a sense of humor , or did they not have the nerve to speak up ?"
-22.3500,about as exciting to watch as two last place basketball teams playing one another on the final day of the season
-22.3024,"the actors pull out all the stops in nearly every scene , but to diminishing effect the characters never change"
-22.2024,the jokes are telegraphed so far in advance they must have been lost in the mail
-22.1586,"ice cube is n't quite out of ripe screwball ideas , but friday after next spreads them pretty thin"
-22.1063,"it would n't matter so much that this arrogant richard pryor wannabe 's routine is offensive , puerile and unimaginatively foul mouthed if it was at least funny"
